rx,ry,rz
-133.02262,9.2831316,-57.67565
135.03063,-17.682106,43.071917
14.555063,-57.249948,96.915284
7.9734666,-4.3040109,126.48306
102.67471,93.943792,-33.231267
-56.339669,132.30488,9.1403963
-51.628853,-78.407618,-103.02698
92.558297,25.407297,-96.801728
-19.146545,-135.72047,-23.493458
-74.431476,-8.8660456,3.4650177
37.080248,27.152163,121.17549
-93.481097,-86.332395,67.92574
-95.18855,73.544902,60.104833
35.075263,-119.08869,-63.800386
14.100609,105.2279,-42.139544
72.536726,84.616914,-69.493857
-109.92234,-24.962145,90.498998
78.132925,52.27334,-68.551045
-116.24455,76.343632,-33.325214
-35.636609,20.252123,90.617869
-26.629013,-102.78914,23.09026
0.78208699,-22.302595,15.227935
-42.400666,40.745969,-5.4167743
-19.438505,46.707595,119.49065
17.150303,45.152082,105.851
-3.0501357,27.101709,105.29854
-7.6204396,-73.423751,3.6139983
2.7206923,-35.358445,82.681086
19.704478,47.042855,108.72942
26.030903,-52.242782,97.989312
4.6201802,-28.726405,98.770498
-65.274193,-19.238328,93.535903
73.653401,-41.781195,89.035592
-14.926286,5.1259258,126.41458
-85.139984,59.584607,-66.750244
-17.664477,-2.7242317,121.88973
-89.602207,53.832713,54.925516
-68.809112,9.0063556,66.764823
-9.3635873,-102.65702,30.312045
15.219311,85.002861,92.192612
43.485422,-21.106685,116.61686
-2.4046258,-65.903165,99.472988
-20.602781,-29.038287,4.7910644
75.100928,-2.1982711,100.44068
38.795166,-65.692026,67.406968
-23.313233,-70.026259,66.791986
15.449394,4.8870229,119.06089
17.080779,50.043998,115.91235
-40.118293,1.0396079,97.591637
19.402825,46.627626,107.21495
28.336947,50.497074,39.10579
19.019766,-56.512159,44.745051
92.023924,43.163325,58.532993
-63.931996,-18.353718,100.06725
-86.90922,42.314308,-42.782023
42.76642,-104.59524,67.044067
2.0456192,53.830967,116.30429
-61.835404,-34.192042,13.8596
28.457495,-87.648486,70.711079
32.907686,17.124972,116.31689
-23.804679,27.269353,116.50955
56.091843,-71.793448,37.200643
1.2569761,30.220146,131.18946
4.0478605,-33.297315,37.450605
-25.170634,-33.223574,116.0409
2.0642208,-3.6164024,116.32321
27.799485,67.216519,26.799615
-2.5012123,-35.665414,94.25115
15.553911,70.569174,36.362692
82.120111,60.569919,60.614605
38.990886,-16.410763,118.78075
-1.631178,21.784057,90.91304
-8.1005677,12.609621,65.997908
58.147276,-95.610138,-3.9454865
-43.746208,30.171044,98.254042
40.729671,-62.796599,75.058709
-30.267541,42.828376,-80.815041
